Area Code (FAO),Nation,Item,Year Code,Year,yf_agrc_bevs_and_spices_tonne_ha,Unit,Element
48,Costa Rica,"Cocoa, beans",1989,1989,2426,hg/ha,Yield
48,Costa Rica,"Cocoa, beans",1990,1990,2009,hg/ha,Yield
48,Costa Rica,"Cocoa, beans",1991,1991,2267,hg/ha,Yield
48,Costa Rica,"Cocoa, beans",1992,1992,2222,hg/ha,Yield
48,Costa Rica,"Cocoa, beans",1993,1993,2333,hg/ha,Yield
48,Costa Rica,"Cocoa, beans",1994,1994,1667,hg/ha,Yield
48,Costa Rica,"Cocoa, beans",1995,1995,1667,hg/ha,Yield
48,Costa Rica,"Cocoa, beans",1996,1996,1667,hg/ha,Yield
48,Costa Rica,"Cocoa, beans",1997,1997,3636,hg/ha,Yield
48,Costa Rica,"Cocoa, beans",1998,1998,4245,hg/ha,Yield
48,Costa Rica,"Cocoa, beans",1999,1999,2446,hg/ha,Yield
48,Costa Rica,"Cocoa, beans",2000,2000,1994,hg/ha,Yield
48,Costa Rica,"Cocoa, beans",2001,2001,1994,hg/ha,Yield
48,Costa Rica,"Cocoa, beans",2002,2002,1994,hg/ha,Yield
48,Costa Rica,"Cocoa, beans",2003,2003,1994,hg/ha,Yield
48,Costa Rica,"Cocoa, beans",2004,2004,1994,hg/ha,Yield
48,Costa Rica,"Cocoa, beans",2005,2005,1143,hg/ha,Yield
48,Costa Rica,"Cocoa, beans",2006,2006,1178,hg/ha,Yield
48,Costa Rica,"Cocoa, beans",2007,2007,1238,hg/ha,Yield
48,Costa Rica,"Cocoa, beans",2008,2008,1322,hg/ha,Yield
48,Costa Rica,"Cocoa, beans",2009,2009,1450,hg/ha,Yield
48,Costa Rica,"Cocoa, beans",2010,2010,1464,hg/ha,Yield
48,Costa Rica,"Cocoa, beans",2011,2011,1498,hg/ha,Yield
48,Costa Rica,"Cocoa, beans",2012,2012,1502,hg/ha,Yield
48,Costa Rica,"Cocoa, beans",2013,2013,1502,hg/ha,Yield
48,Costa Rica,"Cocoa, beans",2014,2014,1474,hg/ha,Yield
48,Costa Rica,"Cocoa, beans",2015,2015,1336,hg/ha,Yield
48,Costa Rica,"Cocoa, beans",2016,2016,1625,hg/ha,Yield
48,Costa Rica,"Cocoa, beans",2017,2017,1363,hg/ha,Yield
48,Costa Rica,"Cocoa, beans",2018,2018,1266,hg/ha,Yield
48,Costa Rica,"Cocoa, beans",2019,2019,1243,hg/ha,Yield
48,Costa Rica,Ginger,1986,1986,131579,hg/ha,Yield
48,Costa Rica,Ginger,1987,1987,131579,hg/ha,Yield
48,Costa Rica,Ginger,1988,1988,129630,hg/ha,Yield
48,Costa Rica,Ginger,1989,1989,130435,hg/ha,Yield
48,Costa Rica,Ginger,1990,1990,130000,hg/ha,Yield
48,Costa Rica,Ginger,1991,1991,130000,hg/ha,Yield
48,Costa Rica,Ginger,1992,1992,130000,hg/ha,Yield
48,Costa Rica,Ginger,1993,1993,160000,hg/ha,Yield
48,Costa Rica,Ginger,1994,1994,173333,hg/ha,Yield
48,Costa Rica,Ginger,1995,1995,200000,hg/ha,Yield
48,Costa Rica,Ginger,1996,1996,129935,hg/ha,Yield
48,Costa Rica,Ginger,1997,1997,130000,hg/ha,Yield
48,Costa Rica,Ginger,1998,1998,129970,hg/ha,Yield
48,Costa Rica,Ginger,1999,1999,111364,hg/ha,Yield
48,Costa Rica,Ginger,2000,2000,104931,hg/ha,Yield
48,Costa Rica,Ginger,2001,2001,83763,hg/ha,Yield
48,Costa Rica,Ginger,2002,2002,88531,hg/ha,Yield
48,Costa Rica,Ginger,2003,2003,81658,hg/ha,Yield
48,Costa Rica,Ginger,2004,2004,121455,hg/ha,Yield
48,Costa Rica,Ginger,2005,2005,162879,hg/ha,Yield
48,Costa Rica,Ginger,2006,2006,213586,hg/ha,Yield
48,Costa Rica,Ginger,2007,2007,97570,hg/ha,Yield
48,Costa Rica,Ginger,2008,2008,145455,hg/ha,Yield
48,Costa Rica,Ginger,2009,2009,131727,hg/ha,Yield
48,Costa Rica,Ginger,2010,2010,133071,hg/ha,Yield
48,Costa Rica,Ginger,2011,2011,137339,hg/ha,Yield
48,Costa Rica,Ginger,2012,2012,120000,hg/ha,Yield
48,Costa Rica,Ginger,2013,2013,120000,hg/ha,Yield
48,Costa Rica,Ginger,2014,2014,120000,hg/ha,Yield
48,Costa Rica,Ginger,2015,2015,120000,hg/ha,Yield
48,Costa Rica,Ginger,2016,2016,120000,hg/ha,Yield
48,Costa Rica,Ginger,2017,2017,120000,hg/ha,Yield
48,Costa Rica,Ginger,2018,2018,99841,hg/ha,Yield
48,Costa Rica,Ginger,2019,2019,109170,hg/ha,Yield
56,Dominican Republic,"Cocoa, beans",1961,1961,4647,hg/ha,Yield
56,Dominican Republic,"Cocoa, beans",1962,1962,4431,hg/ha,Yield
56,Dominican Republic,"Cocoa, beans",1963,1963,4755,hg/ha,Yield
56,Dominican Republic,"Cocoa, beans",1964,1964,5153,hg/ha,Yield
56,Dominican Republic,"Cocoa, beans",1965,1965,3571,hg/ha,Yield
56,Dominican Republic,"Cocoa, beans",1966,1966,3732,hg/ha,Yield
56,Dominican Republic,"Cocoa, beans",1967,1967,3454,hg/ha,Yield
56,Dominican Republic,"Cocoa, beans",1968,1968,3635,hg/ha,Yield
56,Dominican Republic,"Cocoa, beans",1969,1969,3689,hg/ha,Yield
56,Dominican Republic,"Cocoa, beans",1970,1970,3602,hg/ha,Yield
56,Dominican Republic,"Cocoa, beans",1971,1971,3600,hg/ha,Yield
56,Dominican Republic,"Cocoa, beans",1972,1972,3549,hg/ha,Yield
56,Dominican Republic,"Cocoa, beans",1973,1973,3590,hg/ha,Yield
56,Dominican Republic,"Cocoa, beans",1974,1974,3579,hg/ha,Yield
56,Dominican Republic,"Cocoa, beans",1975,1975,3500,hg/ha,Yield
56,Dominican Republic,"Cocoa, beans",1976,1976,3499,hg/ha,Yield
56,Dominican Republic,"Cocoa, beans",1977,1977,3500,hg/ha,Yield
56,Dominican Republic,"Cocoa, beans",1978,1978,3918,hg/ha,Yield
56,Dominican Republic,"Cocoa, beans",1979,1979,3596,hg/ha,Yield
56,Dominican Republic,"Cocoa, beans",1980,1980,2998,hg/ha,Yield
56,Dominican Republic,"Cocoa, beans",1981,1981,3291,hg/ha,Yield
56,Dominican Republic,"Cocoa, beans",1982,1982,2587,hg/ha,Yield
56,Dominican Republic,"Cocoa, beans",1983,1983,3059,hg/ha,Yield
56,Dominican Republic,"Cocoa, beans",1984,1984,3408,hg/ha,Yield
56,Dominican Republic,"Cocoa, beans",1985,1985,2940,hg/ha,Yield
56,Dominican Republic,"Cocoa, beans",1986,1986,2853,hg/ha,Yield
56,Dominican Republic,"Cocoa, beans",1987,1987,2406,hg/ha,Yield
56,Dominican Republic,"Cocoa, beans",1988,1988,3191,hg/ha,Yield
56,Dominican Republic,"Cocoa, beans",1989,1989,4090,hg/ha,Yield
56,Dominican Republic,"Cocoa, beans",1990,1990,3567,hg/ha,Yield
56,Dominican Republic,"Cocoa, beans",1991,1991,4011,hg/ha,Yield
56,Dominican Republic,"Cocoa, beans",1992,1992,4163,hg/ha,Yield
56,Dominican Republic,"Cocoa, beans",1993,1993,4461,hg/ha,Yield
56,Dominican Republic,"Cocoa, beans",1994,1994,4928,hg/ha,Yield
56,Dominican Republic,"Cocoa, beans",1995,1995,3876,hg/ha,Yield
56,Dominican Republic,"Cocoa, beans",1996,1996,4597,hg/ha,Yield
56,Dominican Republic,"Cocoa, beans",1997,1997,3703,hg/ha,Yield
