Area Code (FAO),Nation,Item,Year,yf_agrc_nuts_tonne_ha,Unit,Element
60,El Salvador,"Cashew nuts, with shell",1997,7491,hg/ha,Yield
60,El Salvador,"Cashew nuts, with shell",1998,7491,hg/ha,Yield
60,El Salvador,"Cashew nuts, with shell",1999,7229,hg/ha,Yield
60,El Salvador,"Cashew nuts, with shell",2000,7229,hg/ha,Yield
60,El Salvador,"Cashew nuts, with shell",2001,7222,hg/ha,Yield
60,El Salvador,"Cashew nuts, with shell",2002,7361,hg/ha,Yield
60,El Salvador,"Cashew nuts, with shell",2003,7367,hg/ha,Yield
60,El Salvador,"Cashew nuts, with shell",2004,7378,hg/ha,Yield
60,El Salvador,"Cashew nuts, with shell",2005,7386,hg/ha,Yield
60,El Salvador,"Cashew nuts, with shell",2006,7396,hg/ha,Yield
60,El Salvador,"Cashew nuts, with shell",2007,7297,hg/ha,Yield
60,El Salvador,"Cashew nuts, with shell",2008,7583,hg/ha,Yield
60,El Salvador,"Cashew nuts, with shell",2009,7728,hg/ha,Yield
60,El Salvador,"Cashew nuts, with shell",2010,7878,hg/ha,Yield
60,El Salvador,"Cashew nuts, with shell",2011,8047,hg/ha,Yield
60,El Salvador,"Cashew nuts, with shell",2012,9157,hg/ha,Yield
60,El Salvador,"Cashew nuts, with shell",2013,8686,hg/ha,Yield
60,El Salvador,"Cashew nuts, with shell",2014,13673,hg/ha,Yield
60,El Salvador,"Cashew nuts, with shell",2015,5154,hg/ha,Yield
60,El Salvador,"Cashew nuts, with shell",2016,5250,hg/ha,Yield
60,El Salvador,"Cashew nuts, with shell",2017,3620,hg/ha,Yield
60,El Salvador,"Cashew nuts, with shell",2018,6204,hg/ha,Yield
60,El Salvador,"Cashew nuts, with shell",2019,6981,hg/ha,Yield
95,Honduras,"Cashew nuts, with shell",1986,2500,hg/ha,Yield
95,Honduras,"Cashew nuts, with shell",1987,2667,hg/ha,Yield
95,Honduras,"Cashew nuts, with shell",1988,2727,hg/ha,Yield
95,Honduras,"Cashew nuts, with shell",1989,2730,hg/ha,Yield
95,Honduras,"Cashew nuts, with shell",1990,14286,hg/ha,Yield
95,Honduras,"Cashew nuts, with shell",1991,14117,hg/ha,Yield
95,Honduras,"Cashew nuts, with shell",1992,14107,hg/ha,Yield
95,Honduras,"Cashew nuts, with shell",1993,14109,hg/ha,Yield
95,Honduras,"Cashew nuts, with shell",1994,14099,hg/ha,Yield
95,Honduras,"Cashew nuts, with shell",1995,14092,hg/ha,Yield
95,Honduras,"Cashew nuts, with shell",1996,14095,hg/ha,Yield
95,Honduras,"Cashew nuts, with shell",1997,14052,hg/ha,Yield
95,Honduras,"Cashew nuts, with shell",1998,14066,hg/ha,Yield
95,Honduras,"Cashew nuts, with shell",1999,14092,hg/ha,Yield
95,Honduras,"Cashew nuts, with shell",2000,14117,hg/ha,Yield
95,Honduras,"Cashew nuts, with shell",2001,11333,hg/ha,Yield
95,Honduras,"Cashew nuts, with shell",2002,16679,hg/ha,Yield
95,Honduras,"Cashew nuts, with shell",2003,15769,hg/ha,Yield
95,Honduras,"Cashew nuts, with shell",2004,14865,hg/ha,Yield
95,Honduras,"Cashew nuts, with shell",2005,13943,hg/ha,Yield
95,Honduras,"Cashew nuts, with shell",2006,14615,hg/ha,Yield
95,Honduras,"Cashew nuts, with shell",2007,14540,hg/ha,Yield
95,Honduras,"Cashew nuts, with shell",2008,14545,hg/ha,Yield
95,Honduras,"Cashew nuts, with shell",2009,14557,hg/ha,Yield
95,Honduras,"Cashew nuts, with shell",2010,14559,hg/ha,Yield
95,Honduras,"Cashew nuts, with shell",2011,14563,hg/ha,Yield
95,Honduras,"Cashew nuts, with shell",2012,14286,hg/ha,Yield
95,Honduras,"Cashew nuts, with shell",2013,14581,hg/ha,Yield
95,Honduras,"Cashew nuts, with shell",2014,14547,hg/ha,Yield
95,Honduras,"Cashew nuts, with shell",2015,14501,hg/ha,Yield
95,Honduras,"Cashew nuts, with shell",2016,14455,hg/ha,Yield
95,Honduras,"Cashew nuts, with shell",2017,14451,hg/ha,Yield
95,Honduras,"Cashew nuts, with shell",2018,14458,hg/ha,Yield
95,Honduras,"Cashew nuts, with shell",2019,14462,hg/ha,Yield
138,Mexico,"Almonds, with shell",1980,24511,hg/ha,Yield
138,Mexico,"Almonds, with shell",1981,35660,hg/ha,Yield
138,Mexico,"Almonds, with shell",1982,29791,hg/ha,Yield
138,Mexico,"Almonds, with shell",1983,34673,hg/ha,Yield
138,Mexico,"Almonds, with shell",1984,6364,hg/ha,Yield
138,Mexico,"Almonds, with shell",1985,9074,hg/ha,Yield
138,Mexico,"Almonds, with shell",1986,13486,hg/ha,Yield
138,Mexico,"Almonds, with shell",1987,7619,hg/ha,Yield
138,Mexico,"Almonds, with shell",1988,28493,hg/ha,Yield
138,Mexico,"Almonds, with shell",1989,77222,hg/ha,Yield
138,Mexico,"Almonds, with shell",1990,69661,hg/ha,Yield
138,Mexico,"Almonds, with shell",1991,16081,hg/ha,Yield
138,Mexico,"Almonds, with shell",1992,30698,hg/ha,Yield
138,Mexico,"Almonds, with shell",1993,28800,hg/ha,Yield
138,Mexico,"Almonds, with shell",1994,11573,hg/ha,Yield
138,Mexico,"Almonds, with shell",1995,12603,hg/ha,Yield
138,Mexico,"Almonds, with shell",1996,17937,hg/ha,Yield
138,Mexico,"Almonds, with shell",1997,17031,hg/ha,Yield
138,Mexico,"Almonds, with shell",1998,24918,hg/ha,Yield
138,Mexico,"Almonds, with shell",1999,12131,hg/ha,Yield
138,Mexico,"Almonds, with shell",2000,15902,hg/ha,Yield
138,Mexico,"Almonds, with shell",2001,15000,hg/ha,Yield
138,Mexico,"Almonds, with shell",2002,20000,hg/ha,Yield
138,Mexico,"Almonds, with shell",2003,21579,hg/ha,Yield
138,Mexico,"Almonds, with shell",2004,15000,hg/ha,Yield
138,Mexico,"Almonds, with shell",2005,14359,hg/ha,Yield
138,Mexico,"Almonds, with shell",2006,14872,hg/ha,Yield
138,Mexico,"Almonds, with shell",2007,15641,hg/ha,Yield
138,Mexico,"Almonds, with shell",2008,15385,hg/ha,Yield
138,Mexico,"Almonds, with shell",2009,14750,hg/ha,Yield
138,Mexico,"Almonds, with shell",2010,14500,hg/ha,Yield
138,Mexico,"Almonds, with shell",2011,14250,hg/ha,Yield
138,Mexico,"Almonds, with shell",2012,14000,hg/ha,Yield
138,Mexico,"Almonds, with shell",2013,14103,hg/ha,Yield
138,Mexico,"Almonds, with shell",2014,14242,hg/ha,Yield
138,Mexico,"Almonds, with shell",2015,14375,hg/ha,Yield
138,Mexico,"Almonds, with shell",2016,14516,hg/ha,Yield
138,Mexico,"Almonds, with shell",2017,14483,hg/ha,Yield
138,Mexico,"Almonds, with shell",2018,14286,hg/ha,Yield
138,Mexico,"Almonds, with shell",2019,14074,hg/ha,Yield
138,Mexico,"Cashew nuts, with shell",1980,11408,hg/ha,Yield
138,Mexico,"Cashew nuts, with shell",1981,11408,hg/ha,Yield
138,Mexico,"Cashew nuts, with shell",1983,60952,hg/ha,Yield
138,Mexico,"Cashew nuts, with shell",1985,28995,hg/ha,Yield
138,Mexico,"Cashew nuts, with shell",1986,24732,hg/ha,Yield
138,Mexico,"Cashew nuts, with shell",1987,32168,hg/ha,Yield
138,Mexico,"Cashew nuts, with shell",1988,28974,hg/ha,Yield
138,Mexico,"Cashew nuts, with shell",1989,23032,hg/ha,Yield
138,Mexico,"Cashew nuts, with shell",1990,27541,hg/ha,Yield
138,Mexico,"Cashew nuts, with shell",1991,30000,hg/ha,Yield
138,Mexico,"Cashew nuts, with shell",1994,4000,hg/ha,Yield
138,Mexico,"Cashew nuts, with shell",1995,885,hg/ha,Yield
138,Mexico,"Cashew nuts, with shell",1996,1476,hg/ha,Yield
138,Mexico,"Cashew nuts, with shell",1997,1505,hg/ha,Yield
138,Mexico,"Cashew nuts, with shell",1998,3576,hg/ha,Yield
138,Mexico,"Cashew nuts, with shell",1999,5991,hg/ha,Yield
138,Mexico,"Cashew nuts, with shell",2000,7015,hg/ha,Yield
138,Mexico,"Cashew nuts, with shell",2001,7800,hg/ha,Yield
138,Mexico,"Cashew nuts, with shell",2002,30659,hg/ha,Yield
138,Mexico,"Cashew nuts, with shell",2003,12388,hg/ha,Yield
138,Mexico,"Cashew nuts, with shell",2004,21208,hg/ha,Yield
138,Mexico,"Cashew nuts, with shell",2005,30496,hg/ha,Yield
138,Mexico,"Cashew nuts, with shell",2006,23479,hg/ha,Yield
138,Mexico,"Cashew nuts, with shell",2007,22575,hg/ha,Yield
138,Mexico,"Cashew nuts, with shell",2008,27788,hg/ha,Yield
138,Mexico,"Cashew nuts, with shell",2009,32069,hg/ha,Yield
138,Mexico,"Cashew nuts, with shell",2010,28262,hg/ha,Yield
138,Mexico,"Cashew nuts, with shell",2011,35294,hg/ha,Yield
138,Mexico,"Cashew nuts, with shell",2012,30088,hg/ha,Yield
138,Mexico,"Cashew nuts, with shell",2013,30131,hg/ha,Yield
138,Mexico,"Cashew nuts, with shell",2014,29436,hg/ha,Yield
138,Mexico,"Cashew nuts, with shell",2015,29986,hg/ha,Yield
138,Mexico,"Cashew nuts, with shell",2016,24969,hg/ha,Yield
138,Mexico,"Cashew nuts, with shell",2017,26547,hg/ha,Yield
138,Mexico,"Cashew nuts, with shell",2018,25060,hg/ha,Yield
138,Mexico,"Cashew nuts, with shell",2019,26590,hg/ha,Yield
138,Mexico,Pistachios,1984,3333,hg/ha,Yield
138,Mexico,Pistachios,1985,4815,hg/ha,Yield
138,Mexico,Pistachios,1986,7273,hg/ha,Yield
138,Mexico,Pistachios,1991,7143,hg/ha,Yield
138,Mexico,Pistachios,1992,11584,hg/ha,Yield
138,Mexico,Pistachios,1993,9000,hg/ha,Yield
138,Mexico,Pistachios,1994,1500,hg/ha,Yield
138,Mexico,Pistachios,1995,1875,hg/ha,Yield
138,Mexico,Pistachios,1996,1625,hg/ha,Yield
138,Mexico,Pistachios,1997,6420,hg/ha,Yield
138,Mexico,Pistachios,1998,4876,hg/ha,Yield
138,Mexico,Pistachios,1999,4444,hg/ha,Yield
138,Mexico,Pistachios,2000,3647,hg/ha,Yield
138,Mexico,Pistachios,2001,2283,hg/ha,Yield
138,Mexico,Pistachios,2002,4375,hg/ha,Yield
138,Mexico,Pistachios,2003,4375,hg/ha,Yield
138,Mexico,Pistachios,2004,2821,hg/ha,Yield
138,Mexico,Pistachios,2005,6667,hg/ha,Yield
138,Mexico,Pistachios,2006,1600,hg/ha,Yield
138,Mexico,Pistachios,2007,2778,hg/ha,Yield
138,Mexico,Pistachios,2008,6364,hg/ha,Yield
138,Mexico,Pistachios,2009,5410,hg/ha,Yield
138,Mexico,Pistachios,2010,4965,hg/ha,Yield
138,Mexico,Pistachios,2011,5610,hg/ha,Yield
138,Mexico,Pistachios,2012,5758,hg/ha,Yield
138,Mexico,Pistachios,2013,6824,hg/ha,Yield
138,Mexico,Pistachios,2014,3297,hg/ha,Yield
138,Mexico,Pistachios,2015,4496,hg/ha,Yield
138,Mexico,Pistachios,2016,4122,hg/ha,Yield
138,Mexico,Pistachios,2017,2913,hg/ha,Yield
138,Mexico,Pistachios,2018,5596,hg/ha,Yield
138,Mexico,Pistachios,2019,3645,hg/ha,Yield
138,Mexico,"Walnuts, with shell",1961,43952,hg/ha,Yield
138,Mexico,"Walnuts, with shell",1962,41651,hg/ha,Yield
138,Mexico,"Walnuts, with shell",1963,43474,hg/ha,Yield
138,Mexico,"Walnuts, with shell",1964,43836,hg/ha,Yield
138,Mexico,"Walnuts, with shell",1965,44812,hg/ha,Yield
138,Mexico,"Walnuts, with shell",1966,45740,hg/ha,Yield
138,Mexico,"Walnuts, with shell",1967,47167,hg/ha,Yield
138,Mexico,"Walnuts, with shell",1968,40883,hg/ha,Yield
138,Mexico,"Walnuts, with shell",1969,70804,hg/ha,Yield
138,Mexico,"Walnuts, with shell",1970,47659,hg/ha,Yield
138,Mexico,"Walnuts, with shell",1971,45962,hg/ha,Yield
138,Mexico,"Walnuts, with shell",1972,35769,hg/ha,Yield
138,Mexico,"Walnuts, with shell",1973,46589,hg/ha,Yield
138,Mexico,"Walnuts, with shell",1974,41384,hg/ha,Yield
138,Mexico,"Walnuts, with shell",1975,38034,hg/ha,Yield
138,Mexico,"Walnuts, with shell",1976,45861,hg/ha,Yield
138,Mexico,"Walnuts, with shell",1977,53718,hg/ha,Yield
138,Mexico,"Walnuts, with shell",1978,51038,hg/ha,Yield
138,Mexico,"Walnuts, with shell",1979,39564,hg/ha,Yield
138,Mexico,"Walnuts, with shell",1980,39585,hg/ha,Yield
138,Mexico,"Walnuts, with shell",1981,48937,hg/ha,Yield
138,Mexico,"Walnuts, with shell",1982,51128,hg/ha,Yield
138,Mexico,"Walnuts, with shell",1983,31511,hg/ha,Yield
138,Mexico,"Walnuts, with shell",1984,14910,hg/ha,Yield
138,Mexico,"Walnuts, with shell",1985,11990,hg/ha,Yield
138,Mexico,"Walnuts, with shell",1986,28456,hg/ha,Yield
138,Mexico,"Walnuts, with shell",1987,24255,hg/ha,Yield
138,Mexico,"Walnuts, with shell",1988,35000,hg/ha,Yield
138,Mexico,"Walnuts, with shell",1989,20000,hg/ha,Yield
138,Mexico,"Walnuts, with shell",1990,20000,hg/ha,Yield
138,Mexico,"Walnuts, with shell",1991,23226,hg/ha,Yield
138,Mexico,"Walnuts, with shell",1992,19333,hg/ha,Yield
138,Mexico,"Walnuts, with shell",1993,20000,hg/ha,Yield
138,Mexico,"Walnuts, with shell",1994,22424,hg/ha,Yield
138,Mexico,"Walnuts, with shell",1995,46154,hg/ha,Yield
138,Mexico,"Walnuts, with shell",1996,19705,hg/ha,Yield
138,Mexico,"Walnuts, with shell",1997,28977,hg/ha,Yield
138,Mexico,"Walnuts, with shell",1998,13750,hg/ha,Yield
138,Mexico,"Walnuts, with shell",1999,14146,hg/ha,Yield
138,Mexico,"Walnuts, with shell",2000,13953,hg/ha,Yield
138,Mexico,"Walnuts, with shell",2001,14130,hg/ha,Yield
138,Mexico,"Walnuts, with shell",2002,14286,hg/ha,Yield
138,Mexico,"Walnuts, with shell",2003,14384,hg/ha,Yield
138,Mexico,"Walnuts, with shell",2004,15878,hg/ha,Yield
138,Mexico,"Walnuts, with shell",2005,14645,hg/ha,Yield
138,Mexico,"Walnuts, with shell",2006,12283,hg/ha,Yield
138,Mexico,"Walnuts, with shell",2007,13765,hg/ha,Yield
138,Mexico,"Walnuts, with shell",2008,12291,hg/ha,Yield
138,Mexico,"Walnuts, with shell",2009,17617,hg/ha,Yield
138,Mexico,"Walnuts, with shell",2010,11018,hg/ha,Yield
138,Mexico,"Walnuts, with shell",2011,14186,hg/ha,Yield
138,Mexico,"Walnuts, with shell",2012,15847,hg/ha,Yield
138,Mexico,"Walnuts, with shell",2013,14738,hg/ha,Yield
138,Mexico,"Walnuts, with shell",2014,16690,hg/ha,Yield
138,Mexico,"Walnuts, with shell",2015,15518,hg/ha,Yield
138,Mexico,"Walnuts, with shell",2016,16982,hg/ha,Yield
138,Mexico,"Walnuts, with shell",2017,16314,hg/ha,Yield
138,Mexico,"Walnuts, with shell",2018,16462,hg/ha,Yield
138,Mexico,"Walnuts, with shell",2019,16790,hg/ha,Yield
170,Peru,"Brazil nuts, with shell",1961,10000,hg/ha,Yield
170,Peru,"Brazil nuts, with shell",1962,10000,hg/ha,Yield
170,Peru,"Brazil nuts, with shell",1963,10000,hg/ha,Yield
170,Peru,"Brazil nuts, with shell",1964,10000,hg/ha,Yield
170,Peru,"Brazil nuts, with shell",1965,10000,hg/ha,Yield
170,Peru,"Brazil nuts, with shell",1966,9925,hg/ha,Yield
170,Peru,"Brazil nuts, with shell",1967,9952,hg/ha,Yield
170,Peru,"Brazil nuts, with shell",1968,10131,hg/ha,Yield
170,Peru,"Brazil nuts, with shell",1969,9907,hg/ha,Yield
170,Peru,"Brazil nuts, with shell",1970,9882,hg/ha,Yield
170,Peru,"Brazil nuts, with shell",1971,9909,hg/ha,Yield
170,Peru,"Brazil nuts, with shell",1972,9976,hg/ha,Yield
170,Peru,"Brazil nuts, with shell",1973,9993,hg/ha,Yield
170,Peru,"Brazil nuts, with shell",1974,9906,hg/ha,Yield
170,Peru,"Brazil nuts, with shell",1975,9957,hg/ha,Yield
170,Peru,"Brazil nuts, with shell",1976,9869,hg/ha,Yield
170,Peru,"Brazil nuts, with shell",1977,9962,hg/ha,Yield
170,Peru,"Brazil nuts, with shell",1978,9920,hg/ha,Yield
170,Peru,"Brazil nuts, with shell",1979,9975,hg/ha,Yield
170,Peru,"Brazil nuts, with shell",1980,9884,hg/ha,Yield
170,Peru,"Brazil nuts, with shell",1981,10015,hg/ha,Yield
170,Peru,"Brazil nuts, with shell",1982,9973,hg/ha,Yield
170,Peru,"Brazil nuts, with shell",1983,9813,hg/ha,Yield
170,Peru,"Brazil nuts, with shell",1984,9857,hg/ha,Yield
170,Peru,"Brazil nuts, with shell",1985,3488,hg/ha,Yield
170,Peru,"Brazil nuts, with shell",1986,2737,hg/ha,Yield
170,Peru,"Brazil nuts, with shell",1987,2121,hg/ha,Yield
170,Peru,"Brazil nuts, with shell",1988,3151,hg/ha,Yield
170,Peru,"Brazil nuts, with shell",1989,2418,hg/ha,Yield
170,Peru,"Brazil nuts, with shell",1990,5463,hg/ha,Yield
170,Peru,"Brazil nuts, with shell",1991,5106,hg/ha,Yield
170,Peru,"Brazil nuts, with shell",1992,5194,hg/ha,Yield
170,Peru,"Brazil nuts, with shell",1993,5455,hg/ha,Yield
170,Peru,"Brazil nuts, with shell",1994,4357,hg/ha,Yield
170,Peru,"Brazil nuts, with shell",1995,4317,hg/ha,Yield
170,Peru,"Brazil nuts, with shell",1996,4310,hg/ha,Yield
170,Peru,"Brazil nuts, with shell",1997,4839,hg/ha,Yield
170,Peru,"Brazil nuts, with shell",1998,5714,hg/ha,Yield
170,Peru,"Brazil nuts, with shell",1999,5765,hg/ha,Yield
170,Peru,"Brazil nuts, with shell",2000,5128,hg/ha,Yield
170,Peru,"Brazil nuts, with shell",2001,5000,hg/ha,Yield
170,Peru,"Brazil nuts, with shell",2002,4878,hg/ha,Yield
170,Peru,"Brazil nuts, with shell",2003,5333,hg/ha,Yield
170,Peru,"Brazil nuts, with shell",2004,4839,hg/ha,Yield
170,Peru,"Brazil nuts, with shell",2005,7158,hg/ha,Yield
170,Peru,"Brazil nuts, with shell",2006,5556,hg/ha,Yield
170,Peru,"Brazil nuts, with shell",2007,5217,hg/ha,Yield
170,Peru,"Brazil nuts, with shell",2008,5083,hg/ha,Yield
170,Peru,"Brazil nuts, with shell",2009,5000,hg/ha,Yield
170,Peru,"Brazil nuts, with shell",2010,5043,hg/ha,Yield
170,Peru,"Brazil nuts, with shell",2011,5043,hg/ha,Yield
170,Peru,"Brazil nuts, with shell",2012,4956,hg/ha,Yield
170,Peru,"Brazil nuts, with shell",2013,4956,hg/ha,Yield
170,Peru,"Brazil nuts, with shell",2014,4956,hg/ha,Yield
170,Peru,"Brazil nuts, with shell",2015,5056,hg/ha,Yield
170,Peru,"Brazil nuts, with shell",2016,5165,hg/ha,Yield
170,Peru,"Brazil nuts, with shell",2017,5144,hg/ha,Yield
170,Peru,"Brazil nuts, with shell",2018,5147,hg/ha,Yield
170,Peru,"Brazil nuts, with shell",2019,5149,hg/ha,Yield
170,Peru,"Cashew nuts, with shell",1989,53000,hg/ha,Yield
170,Peru,"Cashew nuts, with shell",1990,52941,hg/ha,Yield
170,Peru,"Cashew nuts, with shell",1991,47000,hg/ha,Yield
170,Peru,"Cashew nuts, with shell",1992,47000,hg/ha,Yield
170,Peru,"Cashew nuts, with shell",1993,46429,hg/ha,Yield
170,Peru,"Cashew nuts, with shell",1994,43079,hg/ha,Yield
170,Peru,"Cashew nuts, with shell",1995,47486,hg/ha,Yield
170,Peru,"Cashew nuts, with shell",1996,53059,hg/ha,Yield
170,Peru,"Cashew nuts, with shell",1997,48117,hg/ha,Yield
170,Peru,"Cashew nuts, with shell",1998,37062,hg/ha,Yield
170,Peru,"Cashew nuts, with shell",1999,50154,hg/ha,Yield
170,Peru,"Cashew nuts, with shell",2000,52963,hg/ha,Yield
170,Peru,"Cashew nuts, with shell",2001,61166,hg/ha,Yield
170,Peru,"Cashew nuts, with shell",2002,58049,hg/ha,Yield
170,Peru,"Cashew nuts, with shell",2003,62443,hg/ha,Yield
170,Peru,"Cashew nuts, with shell",2004,67451,hg/ha,Yield
170,Peru,"Cashew nuts, with shell",2005,66858,hg/ha,Yield
170,Peru,"Cashew nuts, with shell",2006,67164,hg/ha,Yield
170,Peru,"Cashew nuts, with shell",2007,67143,hg/ha,Yield
170,Peru,"Cashew nuts, with shell",2008,57457,hg/ha,Yield
170,Peru,"Cashew nuts, with shell",2009,57614,hg/ha,Yield
170,Peru,"Cashew nuts, with shell",2010,52705,hg/ha,Yield
170,Peru,"Cashew nuts, with shell",2011,50547,hg/ha,Yield
170,Peru,"Cashew nuts, with shell",2012,50769,hg/ha,Yield
170,Peru,"Cashew nuts, with shell",2013,49874,hg/ha,Yield
170,Peru,"Cashew nuts, with shell",2014,47865,hg/ha,Yield
170,Peru,"Cashew nuts, with shell",2015,45239,hg/ha,Yield
170,Peru,"Cashew nuts, with shell",2016,47724,hg/ha,Yield
170,Peru,"Cashew nuts, with shell",2017,53864,hg/ha,Yield
170,Peru,"Cashew nuts, with shell",2018,46889,hg/ha,Yield
170,Peru,"Cashew nuts, with shell",2019,33249,hg/ha,Yield
170,Peru,Chestnut,1989,9661,hg/ha,Yield
170,Peru,Chestnut,1990,9644,hg/ha,Yield
170,Peru,Chestnut,1991,9667,hg/ha,Yield
170,Peru,Chestnut,1992,9657,hg/ha,Yield
170,Peru,Chestnut,1993,9645,hg/ha,Yield
170,Peru,Chestnut,1994,23014,hg/ha,Yield
170,Peru,Chestnut,1995,22150,hg/ha,Yield
170,Peru,Chestnut,1996,24467,hg/ha,Yield
170,Peru,Chestnut,1997,25875,hg/ha,Yield
170,Peru,Chestnut,1998,27273,hg/ha,Yield
170,Peru,Chestnut,1999,30062,hg/ha,Yield
170,Peru,Chestnut,2000,33959,hg/ha,Yield
170,Peru,Chestnut,2001,30172,hg/ha,Yield
170,Peru,Chestnut,2002,37222,hg/ha,Yield
170,Peru,Chestnut,2003,41703,hg/ha,Yield
170,Peru,Chestnut,2004,41892,hg/ha,Yield
170,Peru,Chestnut,2005,37500,hg/ha,Yield
170,Peru,Chestnut,2006,42105,hg/ha,Yield
170,Peru,Chestnut,2007,40000,hg/ha,Yield
170,Peru,Chestnut,2008,40476,hg/ha,Yield
170,Peru,Chestnut,2009,41951,hg/ha,Yield
170,Peru,Chestnut,2010,43779,hg/ha,Yield
170,Peru,Chestnut,2011,43758,hg/ha,Yield
170,Peru,Chestnut,2012,44467,hg/ha,Yield
170,Peru,Chestnut,2013,45180,hg/ha,Yield
170,Peru,Chestnut,2014,45522,hg/ha,Yield
170,Peru,Chestnut,2015,46569,hg/ha,Yield
170,Peru,Chestnut,2016,46691,hg/ha,Yield
170,Peru,Chestnut,2017,47037,hg/ha,Yield
170,Peru,Chestnut,2018,47769,hg/ha,Yield
170,Peru,Chestnut,2019,48175,hg/ha,Yield
170,Peru,"Walnuts, with shell",1991,45455,hg/ha,Yield
170,Peru,"Walnuts, with shell",1992,44602,hg/ha,Yield
170,Peru,"Walnuts, with shell",1993,44581,hg/ha,Yield
170,Peru,"Walnuts, with shell",1994,45714,hg/ha,Yield
170,Peru,"Walnuts, with shell",1995,45000,hg/ha,Yield
170,Peru,"Walnuts, with shell",1996,46667,hg/ha,Yield
170,Peru,"Walnuts, with shell",1997,46154,hg/ha,Yield
170,Peru,"Walnuts, with shell",1998,44776,hg/ha,Yield
170,Peru,"Walnuts, with shell",1999,44868,hg/ha,Yield
170,Peru,"Walnuts, with shell",2000,40732,hg/ha,Yield
170,Peru,"Walnuts, with shell",2001,37031,hg/ha,Yield
170,Peru,"Walnuts, with shell",2002,40794,hg/ha,Yield
170,Peru,"Walnuts, with shell",2003,29344,hg/ha,Yield
170,Peru,"Walnuts, with shell",2004,27432,hg/ha,Yield
170,Peru,"Walnuts, with shell",2005,38056,hg/ha,Yield
170,Peru,"Walnuts, with shell",2006,40133,hg/ha,Yield
170,Peru,"Walnuts, with shell",2007,32027,hg/ha,Yield
170,Peru,"Walnuts, with shell",2008,40423,hg/ha,Yield
170,Peru,"Walnuts, with shell",2009,32537,hg/ha,Yield
170,Peru,"Walnuts, with shell",2010,38254,hg/ha,Yield
170,Peru,"Walnuts, with shell",2011,40946,hg/ha,Yield
170,Peru,"Walnuts, with shell",2012,41310,hg/ha,Yield
170,Peru,"Walnuts, with shell",2013,43012,hg/ha,Yield
170,Peru,"Walnuts, with shell",2014,43247,hg/ha,Yield
170,Peru,"Walnuts, with shell",2015,45139,hg/ha,Yield
170,Peru,"Walnuts, with shell",2016,43881,hg/ha,Yield
170,Peru,"Walnuts, with shell",2017,39474,hg/ha,Yield
170,Peru,"Walnuts, with shell",2018,41053,hg/ha,Yield
170,Peru,"Walnuts, with shell",2019,70000,hg/ha,Yield
