calib_targets,sector
physparam_lvst_bo_chickens_kg_ch4_kg_manure,AFOLU
physparam_lvst_bo_cattle_nondairy_kg_ch4_kg_manure,AFOLU
physparam_lvst_bo_cattle_dairy_kg_ch4_kg_manure,AFOLU
physparam_lvst_bo_buffalo_kg_ch4_kg_manure,AFOLU
genfactor_lvst_daily_volatile_solids_sheep,AFOLU
genfactor_lvst_daily_volatile_solids_pigs,AFOLU
genfactor_lvst_daily_volatile_solids_mules,AFOLU
genfactor_lvst_daily_volatile_solids_horses,AFOLU
ef_lsmm_direct_management_composting_n2o_per_n,AFOLU
frac_lndu_soil_mineral_forests_primary,AFOLU
ef_lsmm_direct_management_deep_bedding_n2o_per_n,AFOLU
ef_lsmm_direct_management_poultry_manure_n2o_per_n,AFOLU
frac_lsmm_n_loss_leaching_liquid_slurry,AFOLU
frac_lsmm_n_loss_leaching_incineration,AFOLU
frac_lsmm_n_loss_leaching_dry_lot,AFOLU
frac_lsmm_n_loss_leaching_deep_bedding,AFOLU
frac_lsmm_n_loss_leaching_daily_spread,AFOLU
frac_lsmm_n_loss_leaching_anaerobic_lagoon,AFOLU
frac_lsmm_n_loss_leaching_anaerobic_digester,AFOLU
frac_lsmm_manure_to_fertilizer_storage_solid,AFOLU
frac_lsmm_manure_to_fertilizer_poultry_manure,AFOLU
frac_lsmm_manure_to_fertilizer_liquid_slurry,AFOLU
frac_lsmm_manure_to_fertilizer_dry_lot,AFOLU
frac_lsmm_manure_to_fertilizer_deep_bedding,AFOLU
frac_lsmm_manure_to_fertilizer_daily_spread,AFOLU
frac_lsmm_manure_to_fertilizer_anaerobic_lagoon,AFOLU
ef_lsmm_direct_management_storage_solid_n2o_per_n,AFOLU
ef_lsmm_direct_management_dry_lot_n2o_per_n,AFOLU
frac_lndu_soil_mineral_forests_secondary,AFOLU
frac_lndu_soil_mineral_grasslands,AFOLU
frac_soil_gasf_n_volatilisation_synthetic_fertilizer_urea,AFOLU
pij_lndu_other_to_forests_primary,AFOLU
pij_lndu_other_to_forests_mangroves,AFOLU
pij_lndu_other_to_croplands,AFOLU
pij_lndu_grasslands_to_wetlands,AFOLU
pij_lndu_grasslands_to_settlements,AFOLU
pij_lndu_grasslands_to_other,AFOLU
pij_lndu_grasslands_to_grasslands,AFOLU
pij_lndu_grasslands_to_forests_secondary,AFOLU
pij_lndu_grasslands_to_forests_primary,AFOLU
pij_lndu_grasslands_to_forests_mangroves,AFOLU
pij_lndu_grasslands_to_croplands,AFOLU
pij_lndu_forests_secondary_to_wetlands,AFOLU
pij_lndu_forests_secondary_to_settlements,AFOLU
pij_lndu_forests_secondary_to_other,AFOLU
pij_lndu_forests_secondary_to_grasslands,AFOLU
pij_lndu_other_to_forests_secondary,AFOLU
pij_lndu_forests_secondary_to_forests_secondary,AFOLU
pij_lndu_other_to_grasslands,AFOLU
pij_lndu_other_to_settlements,AFOLU
pij_lndu_wetlands_to_other,AFOLU
pij_lndu_wetlands_to_grasslands,AFOLU
pij_lndu_wetlands_to_forests_secondary,AFOLU
pij_lndu_wetlands_to_forests_primary,AFOLU
pij_lndu_wetlands_to_forests_mangroves,AFOLU
pij_lndu_wetlands_to_croplands,AFOLU
pij_lndu_settlements_to_wetlands,AFOLU
pij_lndu_settlements_to_settlements,AFOLU
pij_lndu_settlements_to_other,AFOLU
pij_lndu_settlements_to_grasslands,AFOLU
pij_lndu_settlements_to_forests_secondary,AFOLU
pij_lndu_settlements_to_forests_primary,AFOLU
pij_lndu_settlements_to_forests_mangroves,AFOLU
pij_lndu_settlements_to_croplands,AFOLU
pij_lndu_other_to_wetlands,AFOLU
pij_lndu_other_to_other,AFOLU
genfactor_lvst_daily_volatile_solids_goats,AFOLU
pij_lndu_forests_secondary_to_forests_primary,AFOLU
pij_lndu_forests_secondary_to_croplands,AFOLU
pij_lndu_croplands_to_grasslands,AFOLU
pij_lndu_croplands_to_forests_secondary,AFOLU
pij_lndu_croplands_to_forests_primary,AFOLU
pij_lndu_croplands_to_forests_mangroves,AFOLU
pij_lndu_croplands_to_croplands,AFOLU
ratio_soil_organic_matter_c_to_n,AFOLU
frac_soil_leachh_n_lost_to_leaching,AFOLU
pij_lndu_croplands_to_other,AFOLU
pij_lndu_forests_secondary_to_forests_mangroves,AFOLU
pij_lndu_croplands_to_settlements,AFOLU
pij_lndu_forests_mangroves_to_croplands,AFOLU
pij_lndu_forests_primary_to_wetlands,AFOLU
pij_lndu_forests_primary_to_settlements,AFOLU
pij_lndu_forests_primary_to_other,AFOLU
pij_lndu_forests_primary_to_grasslands,AFOLU
pij_lndu_forests_primary_to_forests_secondary,AFOLU
pij_lndu_forests_primary_to_forests_primary,AFOLU
pij_lndu_forests_primary_to_forests_mangroves,AFOLU
pij_lndu_forests_primary_to_croplands,AFOLU
pij_lndu_forests_mangroves_to_wetlands,AFOLU
pij_lndu_forests_mangroves_to_settlements,AFOLU
pij_lndu_forests_mangroves_to_other,AFOLU
pij_lndu_forests_mangroves_to_grasslands,AFOLU
pij_lndu_forests_mangroves_to_forests_secondary,AFOLU
pij_lndu_forests_mangroves_to_forests_primary,AFOLU
pij_lndu_forests_mangroves_to_forests_mangroves,AFOLU
pij_lndu_croplands_to_wetlands,AFOLU
genfactor_lvst_daily_volatile_solids_chickens,AFOLU
pij_lndu_wetlands_to_wetlands,AFOLU
genfactor_lvst_daily_volatile_solids_cattle_dairy,AFOLU
ef_frst_forestfires_primary_co2,AFOLU
ef_frst_forestfires_mangroves_co2,AFOLU
ef_frst_c_per_wood_products,AFOLU
ratio_agrc_below_ground_to_above_ground_biomass_tubers,AFOLU
ratio_agrc_below_ground_to_above_ground_biomass_pulses,AFOLU
ratio_agrc_below_ground_to_above_ground_biomass_other_annual,AFOLU
ratio_agrc_below_ground_to_above_ground_biomass_cereals,AFOLU
frac_agrc_n_in_below_ground_residue_tubers,AFOLU
frac_agrc_n_in_below_ground_residue_rice,AFOLU
frac_agrc_n_in_below_ground_residue_pulses,AFOLU
frac_agrc_n_in_below_ground_residue_other_annual,AFOLU
frac_agrc_n_in_below_ground_residue_cereals,AFOLU
frac_agrc_n_in_above_ground_residue_tubers,AFOLU
