Nation,iso_code3,Code,Year,nemomod_entc_residual_capacity_pp_coal_gw
paraguay,PRY,600,2038,0.0
paraguay,PRY,600,2039,0.0
paraguay,PRY,600,2040,0.0
paraguay,PRY,600,2041,0.0
paraguay,PRY,600,2042,0.0
paraguay,PRY,600,2043,0.0
paraguay,PRY,600,2044,0.0
paraguay,PRY,600,2045,0.0
paraguay,PRY,600,2046,0.0
paraguay,PRY,600,2047,0.0
paraguay,PRY,600,2048,0.0
paraguay,PRY,600,2049,0.0
paraguay,PRY,600,2050,0.0
peru,PER,604,2022,0.135
peru,PER,604,2023,0.135
peru,PER,604,2024,0.135
peru,PER,604,2025,0.135
peru,PER,604,2026,0.135
peru,PER,604,2027,0.135
peru,PER,604,2028,0.135
peru,PER,604,2029,0.135
peru,PER,604,2030,0.135
peru,PER,604,2031,0.135
peru,PER,604,2032,0.135
peru,PER,604,2033,0.135
peru,PER,604,2034,0.135
peru,PER,604,2035,0.135
peru,PER,604,2036,0.135
peru,PER,604,2037,0.135
peru,PER,604,2038,0.135
peru,PER,604,2039,0.135
peru,PER,604,2040,0.135
peru,PER,604,2041,0.135
peru,PER,604,2042,0.135
peru,PER,604,2043,0.135
peru,PER,604,2044,0.135
peru,PER,604,2045,0.135
peru,PER,604,2046,0.135
peru,PER,604,2047,0.135
peru,PER,604,2048,0.135
peru,PER,604,2049,0.135
peru,PER,604,2050,0.135
suriname,SUR,740,2022,0.0
suriname,SUR,740,2023,0.0
suriname,SUR,740,2024,0.0
suriname,SUR,740,2025,0.0
suriname,SUR,740,2026,0.0
suriname,SUR,740,2027,0.0
suriname,SUR,740,2028,0.0
suriname,SUR,740,2029,0.0
suriname,SUR,740,2030,0.0
suriname,SUR,740,2031,0.0
suriname,SUR,740,2032,0.0
suriname,SUR,740,2033,0.0
suriname,SUR,740,2034,0.0
suriname,SUR,740,2035,0.0
suriname,SUR,740,2036,0.0
suriname,SUR,740,2037,0.0
suriname,SUR,740,2038,0.0
suriname,SUR,740,2039,0.0
suriname,SUR,740,2040,0.0
suriname,SUR,740,2041,0.0
suriname,SUR,740,2042,0.0
suriname,SUR,740,2043,0.0
suriname,SUR,740,2044,0.0
suriname,SUR,740,2045,0.0
suriname,SUR,740,2046,0.0
suriname,SUR,740,2047,0.0
suriname,SUR,740,2048,0.0
suriname,SUR,740,2049,0.0
suriname,SUR,740,2050,0.0
trinidad_and_tobago,TTO,780,2022,0.0
trinidad_and_tobago,TTO,780,2023,0.0
trinidad_and_tobago,TTO,780,2024,0.0
trinidad_and_tobago,TTO,780,2025,0.0
trinidad_and_tobago,TTO,780,2026,0.0
trinidad_and_tobago,TTO,780,2027,0.0
trinidad_and_tobago,TTO,780,2028,0.0
trinidad_and_tobago,TTO,780,2029,0.0
trinidad_and_tobago,TTO,780,2030,0.0
trinidad_and_tobago,TTO,780,2031,0.0
trinidad_and_tobago,TTO,780,2032,0.0
trinidad_and_tobago,TTO,780,2033,0.0
trinidad_and_tobago,TTO,780,2034,0.0
trinidad_and_tobago,TTO,780,2035,0.0
trinidad_and_tobago,TTO,780,2036,0.0
trinidad_and_tobago,TTO,780,2037,0.0
trinidad_and_tobago,TTO,780,2038,0.0
trinidad_and_tobago,TTO,780,2039,0.0
trinidad_and_tobago,TTO,780,2040,0.0
trinidad_and_tobago,TTO,780,2041,0.0
trinidad_and_tobago,TTO,780,2042,0.0
trinidad_and_tobago,TTO,780,2043,0.0
trinidad_and_tobago,TTO,780,2044,0.0
trinidad_and_tobago,TTO,780,2045,0.0
trinidad_and_tobago,TTO,780,2046,0.0
trinidad_and_tobago,TTO,780,2047,0.0
trinidad_and_tobago,TTO,780,2048,0.0
trinidad_and_tobago,TTO,780,2049,0.0
trinidad_and_tobago,TTO,780,2050,0.0
uruguay,URY,858,2022,0.0
uruguay,URY,858,2023,0.0
uruguay,URY,858,2024,0.0
uruguay,URY,858,2025,0.0
uruguay,URY,858,2026,0.0
uruguay,URY,858,2027,0.0
uruguay,URY,858,2028,0.0
uruguay,URY,858,2029,0.0
uruguay,URY,858,2030,0.0
uruguay,URY,858,2031,0.0
uruguay,URY,858,2032,0.0
uruguay,URY,858,2033,0.0
uruguay,URY,858,2034,0.0
uruguay,URY,858,2035,0.0
uruguay,URY,858,2036,0.0
uruguay,URY,858,2037,0.0
uruguay,URY,858,2038,0.0
uruguay,URY,858,2039,0.0
uruguay,URY,858,2040,0.0
uruguay,URY,858,2041,0.0
uruguay,URY,858,2042,0.0
uruguay,URY,858,2043,0.0
uruguay,URY,858,2044,0.0
uruguay,URY,858,2045,0.0
uruguay,URY,858,2046,0.0
uruguay,URY,858,2047,0.0
uruguay,URY,858,2048,0.0
uruguay,URY,858,2049,0.0
uruguay,URY,858,2050,0.0
venezuela,VEN,862,2022,0.0
venezuela,VEN,862,2023,0.0
venezuela,VEN,862,2024,0.0
venezuela,VEN,862,2025,0.0
venezuela,VEN,862,2026,0.0
venezuela,VEN,862,2027,0.0
venezuela,VEN,862,2028,0.0
venezuela,VEN,862,2029,0.0
venezuela,VEN,862,2030,0.0
venezuela,VEN,862,2031,0.0
venezuela,VEN,862,2032,0.0
venezuela,VEN,862,2033,0.0
venezuela,VEN,862,2034,0.0
venezuela,VEN,862,2035,0.0
venezuela,VEN,862,2036,0.0
venezuela,VEN,862,2037,0.0
venezuela,VEN,862,2038,0.0
venezuela,VEN,862,2039,0.0
venezuela,VEN,862,2040,0.0
venezuela,VEN,862,2041,0.0
venezuela,VEN,862,2042,0.0
venezuela,VEN,862,2043,0.0
venezuela,VEN,862,2044,0.0
venezuela,VEN,862,2045,0.0
venezuela,VEN,862,2046,0.0
venezuela,VEN,862,2047,0.0
venezuela,VEN,862,2048,0.0
venezuela,VEN,862,2049,0.0
venezuela,VEN,862,2050,0.0
