Nation,Category,Year,Emission
Trinidad and Tobago,2.  Industrial Processes,1991,NA
Trinidad and Tobago,2.  Industrial Processes,1992,NA
Trinidad and Tobago,2.  Industrial Processes,1993,NA
Trinidad and Tobago,2.  Industrial Processes,1994,NA
Trinidad and Tobago,2.  Industrial Processes,1995,NA
Trinidad and Tobago,2.  Industrial Processes,1996,NA
Trinidad and Tobago,2.  Industrial Processes,1997,NA
Trinidad and Tobago,2.  Industrial Processes,1998,NA
Trinidad and Tobago,2.  Industrial Processes,1999,NA
Trinidad and Tobago,2.  Industrial Processes,2000,NA
Trinidad and Tobago,2.  Industrial Processes,2001,NA
Trinidad and Tobago,2.  Industrial Processes,2002,NA
Trinidad and Tobago,2.  Industrial Processes,2003,NA
Trinidad and Tobago,2.  Industrial Processes,2004,NA
Trinidad and Tobago,2.  Industrial Processes,2005,NA
Trinidad and Tobago,2.  Industrial Processes,2006,NA
Trinidad and Tobago,2.  Industrial Processes,2007,NA
Trinidad and Tobago,2.  Industrial Processes,2008,NA
Trinidad and Tobago,2.  Industrial Processes,2009,NA
Trinidad and Tobago,2.  Industrial Processes,2010,NA
Trinidad and Tobago,2.  Industrial Processes,2011,NA
Trinidad and Tobago,2.  Industrial Processes,2012,NA
Trinidad and Tobago,2.  Industrial Processes,2013,NA
Trinidad and Tobago,2.  Industrial Processes,2014,NA
Trinidad and Tobago,2.  Industrial Processes,2015,NA
Trinidad and Tobago,2.  Industrial Processes,2016,NA
Trinidad and Tobago,2.  Industrial Processes,2017,NA
Trinidad and Tobago,2.  Industrial Processes,2018,NA
Trinidad and Tobago,2.  Industrial Processes,2019,NA
Uruguay,2.  Industrial Processes,1990,215
Uruguay,2.  Industrial Processes,1991,NA
Uruguay,2.  Industrial Processes,1992,NA
Uruguay,2.  Industrial Processes,1993,NA
Uruguay,2.  Industrial Processes,1994,259
Uruguay,2.  Industrial Processes,1995,NA
Uruguay,2.  Industrial Processes,1996,NA
Uruguay,2.  Industrial Processes,1997,NA
Uruguay,2.  Industrial Processes,1998,510.27
Uruguay,2.  Industrial Processes,1999,NA
Uruguay,2.  Industrial Processes,2000,361.8198
Uruguay,2.  Industrial Processes,2001,NA
Uruguay,2.  Industrial Processes,2002,265.908
Uruguay,2.  Industrial Processes,2003,NA
Uruguay,2.  Industrial Processes,2004,320.713
Uruguay,2.  Industrial Processes,2005,NA
Uruguay,2.  Industrial Processes,2006,384.243
Uruguay,2.  Industrial Processes,2007,NA
Uruguay,2.  Industrial Processes,2008,525.702
Uruguay,2.  Industrial Processes,2009,NA
Uruguay,2.  Industrial Processes,2010,467.79462
Uruguay,2.  Industrial Processes,2011,NA
Uruguay,2.  Industrial Processes,2012,529.05935
Uruguay,2.  Industrial Processes,2013,NA
Uruguay,2.  Industrial Processes,2014,562.99117
Uruguay,2.  Industrial Processes,2015,NA
Uruguay,2.  Industrial Processes,2016,609.781026
Uruguay,2.  Industrial Processes,2017,703.483439
Uruguay,2.  Industrial Processes,2018,NA
Uruguay,2.  Industrial Processes,2019,689.042516
Venezuela (Bolivarian Republic of),2.  Industrial Processes,1990,NA
Venezuela (Bolivarian Republic of),2.  Industrial Processes,1991,NA
Venezuela (Bolivarian Republic of),2.  Industrial Processes,1992,NA
Venezuela (Bolivarian Republic of),2.  Industrial Processes,1993,NA
Venezuela (Bolivarian Republic of),2.  Industrial Processes,1994,NA
Venezuela (Bolivarian Republic of),2.  Industrial Processes,1995,NA
Venezuela (Bolivarian Republic of),2.  Industrial Processes,1996,NA
Venezuela (Bolivarian Republic of),2.  Industrial Processes,1997,NA
Venezuela (Bolivarian Republic of),2.  Industrial Processes,1998,NA
Venezuela (Bolivarian Republic of),2.  Industrial Processes,1999,9206.2
Venezuela (Bolivarian Republic of),2.  Industrial Processes,2000,NA
Venezuela (Bolivarian Republic of),2.  Industrial Processes,2001,NA
Venezuela (Bolivarian Republic of),2.  Industrial Processes,2002,NA
Venezuela (Bolivarian Republic of),2.  Industrial Processes,2003,NA
Venezuela (Bolivarian Republic of),2.  Industrial Processes,2004,NA
Venezuela (Bolivarian Republic of),2.  Industrial Processes,2005,NA
Venezuela (Bolivarian Republic of),2.  Industrial Processes,2006,NA
Venezuela (Bolivarian Republic of),2.  Industrial Processes,2007,NA
Venezuela (Bolivarian Republic of),2.  Industrial Processes,2008,NA
Venezuela (Bolivarian Republic of),2.  Industrial Processes,2009,NA
Venezuela (Bolivarian Republic of),2.  Industrial Processes,2010,NA
Venezuela (Bolivarian Republic of),2.  Industrial Processes,2011,NA
Venezuela (Bolivarian Republic of),2.  Industrial Processes,2012,NA
Venezuela (Bolivarian Republic of),2.  Industrial Processes,2013,NA
Venezuela (Bolivarian Republic of),2.  Industrial Processes,2014,NA
Venezuela (Bolivarian Republic of),2.  Industrial Processes,2015,NA
Venezuela (Bolivarian Republic of),2.  Industrial Processes,2016,NA
Venezuela (Bolivarian Republic of),2.  Industrial Processes,2017,NA
Venezuela (Bolivarian Republic of),2.  Industrial Processes,2018,NA
Venezuela (Bolivarian Republic of),2.  Industrial Processes,2019,NA
