Nation,Year,value,mineria_share,manu_share,industrial_share,comercio_share,total_share
panama,1972,7.57393789952802,0.0,0.185089419417828,0.056603942711766,0.619750656697333,0.861444018826927
peru,1972,49.747252387186094,0.0184356241272649,0.181746545971159,0.10573872401470599,0.457339482747679,0.7632603768608088
paraguay,1972,5.2593809307791,0.0,0.154851959256545,0.04195089732608201,0.396454039773372,0.593256896355999
el_salvador,1972,11.5588093124443,0.0,0.20732440730541601,0.048491754502578976,0.363593201025544,0.619409362833539
uruguay,1972,17.5680975226483,0.0,,,,
argentina,1973,243.685921870563,0.00055811007499353,0.343339746673214,0.09018265266468806,0.44695028348166405,0.8810307928945595
bahamas,1973,5.10265929542125,0.0,,,,
belize,1973,0.219691805708795,0.0,,,,
brazil,1973,487.176307067733,0.0038021358875509597,0.24221805692620801,0.07475760064595499,0.387144836733274,0.707922630192988
barbados,1973,,,0.19893026370672356,0.08452721276018538,0.45918833230684164,
chile,1973,42.236242805433406,0.0680675558758374,0.270873733921147,0.13894081866123598,0.517239424928151,0.9951215333863714
colombia,1973,61.3511563821964,9.349623926254e-05,0.22723721006744502,0.07797746339858597,0.45840598782694497,0.7637141575322385
costa_rica,1973,10.6734980417255,0.0,0.201320552218762,0.065673462315265,0.530730924479149,0.797724939013176
dominican_republic,1973,10.9757941491059,0.025850306606795898,0.170121119071989,0.099922288000936,0.39965029000341196,0.6955440036831328
ecuador,1973,22.0662741584958,8.787556144212999e-05,0.18654434958315,0.05728002591332901,0.445554758617853,0.6894670096757741
guatemala,1973,15.8351657624856,1.080776254924e-05,0.15939891174689,0.03258963752959501,0.529086387627028,0.7210857446660622
guyana,1973,2.2203292996322697,0.102277602452059,0.09972084367245661,0.1977357320099254,0.43160669975186106,0.8313408778863021
honduras,1973,4.66870417167057,0.0212091757548751,0.143013706466504,0.074520552028524,0.409315145715898,0.6480585799658011
haiti,1973,8.15816758607418,0.0138046750950655,,,,
jamaica,1973,10.224334277204001,0.0613764150926299,,,,
mexico,1973,329.969266443371,0.00549470447110842,0.21713227206946498,0.07942952243125903,0.537510709117221,0.8395672080890534
nicaragua,1973,6.52992119743234,0.0132623684985346,,,,
panama,1973,7.98022742397667,0.0,0.18479753352686898,0.07412508581124802,0.610565173858369,0.869487793196486
peru,1973,52.8698549622435,0.0451076693816478,0.186199799368745,0.115857646294415,0.451235095931575,0.7984002109763828
paraguay,1973,5.64346368023765,0.0,0.153883144526735,0.044293151143601994,0.373879796232372,0.572056091902709
el_salvador,1973,12.1207608824182,0.0,0.198152975761273,0.044622552554219014,0.358949470297853,0.601724998613345
uruguay,1973,17.6164448596594,0.0,,,,
argentina,1974,257.171024124624,0.00066769580187173,0.340368852105037,0.09555917413489107,0.46176359627142,0.8983593183132197
bahamas,1974,4.24774806815147,0.0,,,,
belize,1974,0.249481981986577,0.0,,,,
brazil,1974,526.9003644317979,0.00564244212699006,0.254263923876306,0.07914863927253801,0.39128856530922396,0.730343570585058
barbados,1974,2.8490600891620597,0.0,0.20823635378324845,0.08827753648637865,0.44974466925813855,0.7462585595277657
chile,1974,43.2423731814049,0.09903446164629219,0.29551258609196496,0.191824247376094,0.444446848117663,1.0308181432320143
colombia,1974,64.87624486048371,0.00012268796470653,0.23183842870613902,0.06821988684302,0.461058861481959,0.7612398649958245
costa_rica,1974,11.265332833563601,0.0,0.20777560180524401,0.06798731862850499,0.530043815537912,0.805806735971661
dominican_republic,1974,11.634550656700199,0.025989812387347003,0.18621184673753302,0.08775895963426597,0.357931435212086,0.6578920539712321
ecuador,1974,24.5395746220139,3.854955453517e-05,0.188664931498874,0.07596114428898601,0.45733900780097797,0.7220036331433732
guatemala,1974,16.8446623151922,0.00080610082682824,0.156692809004992,0.030549898167006012,0.533778223431226,0.7218270314300523
guyana,1974,2.39135771194363,0.154021350669152,0.12600817010579202,0.17544778464439098,0.332984183513146,0.788461488932481
honduras,1974,4.6113892109512,0.0312559530973294,0.14209763170613798,0.08699855002416601,0.40889318511358097,0.6692453199412144
haiti,1974,8.62970062944979,0.021619537510051502,,,,
jamaica,1974,9.79192046342693,0.11961978421345201,,,,
mexico,1974,349.03102087720004,0.0067505799460743695,0.217538777777778,0.09094499999999997,0.530233333333333,0.8454676910571853
nicaragua,1974,7.456675372135161,0.0121042257195806,,,,
panama,1974,8.17560889324718,0.0,0.202772133131558,0.05618113285353499,0.6224482335115961,0.881401499496689
peru,1974,57.832660969666605,0.0481048514300442,0.19884441264734398,0.11937697704967404,0.45359729976970004,0.8199235408967622
